Timestamp,Actor,Role,Action,Object_Instance,Object_Type,Topic,Course_ID
2015-09-08 20:28,100,student,view,1,video,Topic 1,curso1,
2015-09-08 02:11,100,student,view,1,link,Topic 1,curso1,
2015-09-08 01:03,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 11:11,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 21:48,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:08,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 17:54,100,student,view,1,link,Topic 1,curso1,
2015-09-08 12:56,100,student,view,1,wiki,Topic 1,curso1,
2015-09-08 11:04,100,student,view,1,quiz,Topic 1,curso1,
2015-09-08 06:35,100,student,view,1,link,Topic 1,curso1,
2015-09-08 09:30,102,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:42,102,student,view,1,quiz,Topic 1,curso1,
2015-09-08 24:60,103,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:41,103,student,view,1,quiz,Topic 1,curso1,
2015-09-08 14:10,103,student,view,1,link,Topic 1,curso1,
2015-09-08 10:44,103,student,view,1,wiki,Topic 1,curso1,
2015-09-08 15:01,103,student,view,1,quiz,Topic 1,curso1,
2015-09-08 15:15,103,student,view,1,link,Topic 1,curso1,
2015-09-08 21:46,104,student,view,1,wiki,Topic 1,curso1,
2015-09-08 07:07,104,student,view,1,quiz,Topic 1,curso1,
2015-09-08 14:49,104,student,view,1,link,Topic 1,curso1,
2015-09-08 12:45,104,student,view,1,wiki,Topic 1,curso1,
2015-09-08 11:31,104,student,view,1,quiz,Topic 1,curso1,
2015-09-08 15:24,104,student,view,1,link,Topic 1,curso1,
2015-09-08 06:56,104,student,view,1,wiki,Topic 1,curso1,
2015-09-08 15:10,104,student,view,1,quiz,Topic 1,curso1,
2015-09-08 13:00,104,student,view,1,link,Topic 1,curso1,
2015-09-08 03:11,106,student,view,1,wiki,Topic 1,curso1,
2015-09-08 13:39,106,student,view,1,quiz,Topic 1,curso1,
2015-09-08 24:24,106,student,view,1,link,Topic 1,curso1,
2015-09-08 18:51,106,student,view,1,wiki,Topic 1,curso1,
2015-09-08 21:16,106,student,view,1,wiki,Topic 1,curso1,
2015-09-08 20:20,106,student,view,1,quiz,Topic 1,curso1,
2015-09-08 11:27,106,student,view,1,link,Topic 1,curso1,
2015-09-08 22:50,106,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:39,106,student,view,1,quiz,Topic 1,curso1,
2015-09-08 21:30,106,student,view,1,link,Topic 1,curso1,
2015-09-08 14:06,107,student,view,1,quiz,Topic 1,curso1,
2015-09-08 23:46,107,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:18,107,student,view,1,quiz,Topic 1,curso1,
2015-09-08 03:48,107,student,view,1,link,Topic 1,curso1,
2015-09-08 02:38,109,student,view,1,wiki,Topic 1,curso1,
2015-09-08 08:19,109,student,submit,1,assessment,Topic 1,curso1,
2015-09-08 14:09,109,student,view,1,forum,Topic 1,curso1,
2015-09-08 22:39,109,student,view,1,link,Topic 1,curso1,
2015-09-08 00:03,109,student,view,1,wiki,Topic 1,curso1,
2015-09-08 05:42,109,student,view,1,quiz,Topic 1,curso1,
2015-09-08 16:22,109,student,view,1,link,Topic 1,curso1,
2015-09-08 07:05,109,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:48,109,student,view,1,link,Topic 1,curso1,
2015-09-08 11:52,110,student,view,1,link,Topic 1,curso1,
2015-09-08 00:04,110,student,view,1,wiki,Topic 1,curso1,
2015-09-08 07:56,110,student,view,1,link,Topic 1,curso1,
2015-09-08 00:10,110,student,view,1,wiki,Topic 1,curso1,
2015-09-08 11:59,110,student,view,1,quiz,Topic 1,curso1,
2015-09-08 17:04,110,student,view,1,link,Topic 1,curso1,
2015-09-08 17:49,110,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:54,110,student,view,1,quiz,Topic 1,curso1,
2015-09-08 20:25,110,student,view,1,link,Topic 1,curso1,
2015-09-08 20:36,111,student,view,1,quiz,Topic 1,curso1,
2015-09-08 18:56,111,student,view,1,wiki,Topic 1,curso1,
2015-09-08 23:59,111,student,view,1,quiz,Topic 1,curso1,
2015-09-08 04:19,111,student,view,1,link,Topic 1,curso1,
2015-09-08 19:21,111,student,view,1,wiki,Topic 1,curso1,
2015-09-08 07:15,111,student,view,1,quiz,Topic 1,curso1,
2015-09-08 01:44,111,student,view,1,link,Topic 1,curso1,
2015-09-08 23:22,112,student,view,1,link,Topic 1,curso1,
2015-09-08 02:55,114,student,view,1,wiki,Topic 1,curso1,
2015-09-08 18:12,114,student,view,1,quiz,Topic 1,curso1,
2015-09-08 07:20,114,student,view,1,link,Topic 1,curso1,
2015-09-08 11:47,114,student,view,1,wiki,Topic 1,curso1,
2015-09-08 24:58,114,student,view,1,quiz,Topic 1,curso1,
2015-09-08 07:56,114,student,view,1,wiki,Topic 1,curso1,
2015-09-08 09:22,114,student,view,1,quiz,Topic 1,curso1,
2015-09-08 22:34,114,student,view,1,link,Topic 1,curso1,
2015-09-08 07:23,114,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:49,114,student,view,1,quiz,Topic 1,curso1,
2015-09-08 19:21,114,student,view,1,link,Topic 1,curso1,
2015-09-08 13:39,114,student,view,1,wiki,Topic 1,curso1,
2015-09-08 13:26,114,student,view,1,quiz,Topic 1,curso1,
2015-09-08 10:32,114,student,view,1,link,Topic 1,curso1,
2015-09-08 17:00,115,student,view,1,wiki,Topic 1,curso1,
2015-09-08 04:41,115,student,view,1,quiz,Topic 1,curso1,
2015-09-08 16:06,115,student,view,1,link,Topic 1,curso1,
2015-09-08 02:54,116,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:45,116,student,view,1,quiz,Topic 1,curso1,
2015-09-08 18:35,116,student,view,1,link,Topic 1,curso1,
2015-09-08 01:25,116,student,view,1,quiz,Topic 1,curso1,
2015-09-08 15:24,116,student,view,1,link,Topic 1,curso1,
2015-09-08 11:30,116,student,view,1,wiki,Topic 1,curso1,
2015-09-08 19:30,116,student,view,1,link,Topic 1,curso1,
2015-09-08 13:26,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:47,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 17:30,117,student,view,1,link,Topic 1,curso1,
2015-09-08 20:05,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 05:10,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 05:27,117,student,view,1,link,Topic 1,curso1,
2015-09-08 05:28,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:53,117,student,view,1,link,Topic 1,curso1,
2015-09-08 00:43,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 14:48,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 06:18,117,student,view,1,link,Topic 1,curso1,
2015-09-08 05:54,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 05:28,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:08,117,student,view,1,link,Topic 1,curso1,
2015-09-08 13:20,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 19:30,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 16:32,117,student,view,1,link,Topic 1,curso1,
2015-09-08 18:44,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:13,117,student,view,1,link,Topic 1,curso1,
2015-09-08 18:44,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 05:06,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 03:60,117,student,view,1,link,Topic 1,curso1,
2015-09-08 20:22,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 04:29,117,student,view,1,quiz,Topic 1,curso1,
2015-09-08 10:31,117,student,view,1,wiki,Topic 1,curso1,
2015-09-08 04:17,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 11:23,118,student,view,1,quiz,Topic 1,curso1,
2015-09-08 01:53,118,student,view,1,link,Topic 1,curso1,
2015-09-08 11:51,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 12:02,118,student,view,1,quiz,Topic 1,curso1,
2015-09-08 01:45,118,student,view,1,link,Topic 1,curso1,
2015-09-08 14:33,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 04:30,118,student,view,1,quiz,Topic 1,curso1,
2015-09-08 15:24,118,student,view,1,link,Topic 1,curso1,
2015-09-08 11:42,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 23:53,118,student,view,1,link,Topic 1,curso1,
2015-09-08 06:40,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 09:39,118,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:22,118,student,view,1,link,Topic 1,curso1,
2015-09-08 06:51,118,student,view,1,wiki,Topic 1,curso1,
2015-09-08 07:11,118,student,view,1,quiz,Topic 1,curso1,
2015-09-08 08:06,118,student,view,1,link,Topic 1,curso1,
2015-09-08 03:25,119,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:35,119,student,view,1,quiz,Topic 1,curso1,
2015-09-08 03:12,119,student,view,1,link,Topic 1,curso1,
2015-09-08 08:32,119,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:25,119,student,view,1,wiki,Topic 1,curso1,
2015-09-08 01:06,119,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:09,119,student,view,1,link,Topic 1,curso1,
2015-09-08 18:24,119,student,view,1,wiki,Topic 1,curso1,
2015-09-08 05:23,119,student,view,1,quiz,Topic 1,curso1,
2015-09-08 00:48,119,student,view,1,link,Topic 1,curso1,
2015-09-08 01:44,120,student,view,1,wiki,Topic 1,curso1,
2015-09-08 24:34,120,student,view,1,link,Topic 1,curso1,
2015-09-08 00:40,120,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:60,120,student,view,1,quiz,Topic 1,curso1,
2015-09-08 19:03,120,student,view,1,wiki,Topic 1,curso1,
2015-09-08 04:60,120,student,view,1,wiki,Topic 1,curso1,
2015-09-08 10:54,120,student,view,1,quiz,Topic 1,curso1,
2015-09-08 05:37,120,student,view,1,link,Topic 1,curso1,
2015-09-08 01:19,120,student,view,1,wiki,Topic 1,curso1,
2015-09-08 11:25,120,student,view,1,quiz,Topic 1,curso1,
2015-09-08 08:29,120,student,view,1,link,Topic 1,curso1,
2015-09-08 11:35,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:40,121,student,view,1,quiz,Topic 1,curso1,
2015-09-08 13:36,121,student,view,1,link,Topic 1,curso1,
2015-09-08 07:21,121,student,view,1,quiz,Topic 1,curso1,
2015-09-08 04:51,121,student,view,1,link,Topic 1,curso1,
2015-09-08 17:35,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 09:25,121,student,view,1,link,Topic 1,curso1,
2015-09-08 03:15,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 07:01,121,student,view,1,quiz,Topic 1,curso1,
2015-09-08 01:17,121,student,view,1,link,Topic 1,curso1,
2015-09-08 07:28,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:43,121,student,view,1,link,Topic 1,curso1,
2015-09-08 19:53,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 18:54,121,student,view,1,link,Topic 1,curso1,
2015-09-08 11:40,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 02:26,121,student,view,1,wiki,Topic 1,curso1,
2015-09-08 10:18,121,student,view,1,video,Topic 1,curso1,
2015-09-08 06:43,122,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:48,122,student,view,1,link,Topic 1,curso1,
2015-09-08 03:30,122,student,view,1,wiki,Topic 1,curso1,
2015-09-08 01:44,122,student,view,1,link,Topic 1,curso1,
2015-09-08 19:05,122,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:54,122,student,view,1,link,Topic 1,curso1,
2015-09-08 09:41,122,student,view,1,quiz,Topic 1,curso1,
2015-09-08 03:54,122,student,view,1,link,Topic 1,curso1,
2015-09-08 19:22,122,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:36,122,student,view,1,quiz,Topic 1,curso1,
2015-09-08 10:56,122,student,view,1,link,Topic 1,curso1,
2015-09-08 19:48,122,student,view,1,wiki,Topic 1,curso1,
2015-09-08 18:52,122,student,view,1,quiz,Topic 1,curso1,
2015-09-08 10:53,122,student,submit,1,assessment,Topic 1,curso1,
2015-09-08 15:12,123,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:24,123,student,view,1,link,Topic 1,curso1,
2015-09-08 20:10,124,student,view,1,wiki,Topic 1,curso1,
2015-09-08 16:15,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 19:18,124,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:32,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 07:52,124,student,view,1,link,Topic 1,curso1,
2015-09-08 01:12,124,student,view,1,wiki,Topic 1,curso1,
2015-09-08 14:42,124,student,view,1,link,Topic 1,curso1,
2015-09-08 00:08,124,student,view,1,wiki,Topic 1,curso1,
2015-09-08 03:48,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 12:50,124,student,view,1,link,Topic 1,curso1,
2015-09-08 08:57,124,student,view,1,link,Topic 1,curso1,
2015-09-08 13:38,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 18:46,124,student,view,1,link,Topic 1,curso1,
2015-09-08 23:58,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:40,124,student,view,1,link,Topic 1,curso1,
2015-09-08 11:59,124,student,view,1,wiki,Topic 1,curso1,
2015-09-08 12:26,124,student,view,1,quiz,Topic 1,curso1,
2015-09-08 23:49,124,student,view,1,link,Topic 1,curso1,
2015-09-08 06:42,125,student,view,1,quiz,Topic 1,curso1,
2015-09-08 02:15,125,student,view,1,link,Topic 1,curso1,
2015-09-08 04:50,125,student,view,1,wiki,Topic 1,curso1,
2015-09-08 19:14,125,student,view,1,link,Topic 1,curso1,
2015-09-08 03:01,126,student,view,1,quiz,Topic 1,curso1,
2015-09-08 21:54,126,student,view,1,wiki,Topic 1,curso1,
2015-09-08 20:09,126,student,view,1,quiz,Topic 1,curso1,
2015-09-08 20:05,126,student,view,1,link,Topic 1,curso1,
2015-09-08 05:54,126,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:21,126,student,view,1,link,Topic 1,curso1,
2015-09-08 00:16,126,student,view,1,wiki,Topic 1,curso1,
2015-09-08 14:40,126,student,view,1,quiz,Topic 1,curso1,
2015-09-08 14:16,126,student,view,1,wiki,Topic 1,curso1,
2015-09-08 17:17,126,student,view,1,link,Topic 1,curso1,
2015-09-08 09:26,127,student,view,1,link,Topic 1,curso1,
2015-09-08 21:52,127,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:22,127,student,view,1,link,Topic 1,curso1,
2015-09-08 24:57,127,student,view,1,wiki,Topic 1,curso1,
2015-09-08 02:24,127,student,view,1,quiz,Topic 1,curso1,
2015-09-08 07:13,127,student,view,1,link,Topic 1,curso1,
2015-09-08 19:01,128,student,view,1,wiki,Topic 1,curso1,
2015-09-08 23:10,128,student,view,1,wiki,Topic 1,curso1,
2015-09-08 08:07,128,student,view,1,quiz,Topic 1,curso1,
2015-09-08 16:58,128,student,view,1,link,Topic 1,curso1,
2015-09-08 01:06,128,student,view,1,wiki,Topic 1,curso1,
2015-09-08 06:59,128,student,view,1,quiz,Topic 1,curso1,
